"","Brewery","City","State"
"197","Sixpoint Craft Ales","Brooklyn","NY"
"198","Sixpoint Craft Ales","Brooklyn","NY"
"199","Sixpoint Craft Ales","Brooklyn","NY"
"200","Sixpoint Craft Ales","Brooklyn","NY"
"201","Sixpoint Craft Ales","Brooklyn","NY"
"202","Sixpoint Craft Ales","Brooklyn","NY"
"203","Sixpoint Craft Ales","Brooklyn","NY"
"204","Sixpoint Craft Ales","Brooklyn","NY"
"205","Firestone Walker Brewing Company","Paso Robles","CA"
"206","Firestone Walker Brewing Company","Paso Robles","CA"
"207","Firestone Walker Brewing Company","Paso Robles","CA"
"208","SweetWater Brewing Company","Atlanta","GA"
"209","Flying Mouse Brewery","Troutville","VA"
"210","Upslope Brewing Company","Boulder","CO"
"211","Upslope Brewing Company","Boulder","CO"
"212","Upslope Brewing Company","Boulder","CO"
"213","Upslope Brewing Company","Boulder","CO"
"214","Upslope Brewing Company","Boulder","CO"
"215","Upslope Brewing Company","Boulder","CO"
"216","Upslope Brewing Company","Boulder","CO"
"217","Upslope Brewing Company","Boulder","CO"
"218","Bent Brewstillery","Roseville","MN"
"219","Bent Brewstillery","Roseville","MN"
"220","Pollyanna Brewing Company","Lemont","IL"
"221","Destihl Brewery","Bloomington","IL"
"222","Destihl Brewery","Bloomington","IL"
"223","Destihl Brewery","Bloomington","IL"
"224","Destihl Brewery","Bloomington","IL"
"225","Destihl Brewery","Bloomington","IL"
"226","Destihl Brewery","Bloomington","IL"
"227","Summit Brewing Company","St. Paul","MN"
"228","Summit Brewing Company","St. Paul","MN"
"229","Summit Brewing Company","St. Paul","MN"
"230","4 Hands Brewing Company","Saint Louis","MO"
"231","4 Hands Brewing Company","Saint Louis","MO"
"232","4 Hands Brewing Company","Saint Louis","MO"
"233","Surly Brewing Company","Brooklyn Center","MN"
"234","Surly Brewing Company","Brooklyn Center","MN"
"235","Surly Brewing Company","Brooklyn Center","MN"
"236","Surly Brewing Company","Brooklyn Center","MN"
"237","Surly Brewing Company","Brooklyn Center","MN"
"238","Surly Brewing Company","Brooklyn Center","MN"
"239","Surly Brewing Company","Brooklyn Center","MN"
"240","Surly Brewing Company","Brooklyn Center","MN"
"241","Surly Brewing Company","Brooklyn Center","MN"
"242","Surly Brewing Company","Brooklyn Center","MN"
"243","Surly Brewing Company","Brooklyn Center","MN"
"244","Against The Grain Brewery","Louisville","KY"
"245","Against The Grain Brewery","Louisville","KY"
"246","Crazy Mountain Brewing Company","Edwards","CO"
"247","Crazy Mountain Brewing Company","Edwards","CO"
"248","Crazy Mountain Brewing Company","Edwards","CO"
"249","Crazy Mountain Brewing Company","Edwards","CO"
"250","Mikerphone Brewing","Chicago","IL"
"251","Freetail Brewing Company","San Antonio","TX"
"252","Freetail Brewing Company","San Antonio","TX"
"253","Freetail Brewing Company","San Antonio","TX"
"254","Freetail Brewing Company","San Antonio","TX"
"255","Freetail Brewing Company","San Antonio","TX"
"256","3 Daughters Brewing","St Petersburg","FL"
"257","Red Shedman Farm Brewery and Hop...","Mt. Airy","MD"
"258","Red Shedman Farm Brewery and Hop...","Mt. Airy","MD"
"259","Red Shedman Farm Brewery and Hop...","Mt. Airy","MD"
"260","Red Shedman Farm Brewery and Hop...","Mt. Airy","MD"
"261","Appalachian Mountain Brewery","Boone","NC"
"262","Appalachian Mountain Brewery","Boone","NC"
"263","Appalachian Mountain Brewery","Boone","NC"
"264","Birdsong Brewing Company","Charlotte","NC"
"265","Union Craft Brewing","Baltimore","MD"
"266","Union Craft Brewing","Baltimore","MD"
"267","Atwater Brewery","Detroit","MI"
"268","Atwater Brewery","Detroit","MI"
"269","Atwater Brewery","Detroit","MI"
"270","Atwater Brewery","Detroit","MI"
"271","Atwater Brewery","Detroit","MI"
"272","Two Brothers Brewing Company","Warrenville","IL"
"273","Two Brothers Brewing Company","Warrenville","IL"
"274","Two Brothers Brewing Company","Warrenville","IL"
"275","Two Brothers Brewing Company","Warrenville","IL"
"276","Two Brothers Brewing Company","Warrenville","IL"
"277","Two Brothers Brewing Company","Warrenville","IL"
"278","Two Brothers Brewing Company","Warrenville","IL"
"279","Bent Paddle Brewing Company","Duluth","MN"
"280","Bent Paddle Brewing Company","Duluth","MN"
"281","Bent Paddle Brewing Company","Duluth","MN"
"282","Bent Paddle Brewing Company","Duluth","MN"
"283","Bent Paddle Brewing Company","Duluth","MN"
"284","Speakasy Ales & Lagers","San Francisco","CA"
"285","Black Tooth Brewing Company","Sheridan","WY"
"286","Black Tooth Brewing Company","Sheridan","WY"
"287","Hopworks Urban Brewery","Portland","OR"
"288","Hopworks Urban Brewery","Portland","OR"
"289","Hopworks Urban Brewery","Portland","OR"
"290","Hopworks Urban Brewery","Portland","OR"
"291","Hopworks Urban Brewery","Portland","OR"
"292","Hopworks Urban Brewery","Portland","OR"
"293","Hopworks Urban Brewery","Portland","OR"
"294","Hopworks Urban Brewery","Portland","OR"
"295","Hopworks Urban Brewery","Portland","OR"
"296","Hopworks Urban Brewery","Portland","OR"
"297","Hopworks Urban Brewery","Portland","OR"
"298","Hopworks Urban Brewery","Portland","OR"
"299","Hopworks Urban Brewery","Portland","OR"
"300","Hopworks Urban Brewery","Portland","OR"
"301","Hopworks Urban Brewery","Portland","OR"
"302","Hopworks Urban Brewery","Portland","OR"
"303","Hopworks Urban Brewery","Portland","OR"
"304","Hopworks Urban Brewery","Portland","OR"
"305","Hopworks Urban Brewery","Portland","OR"
"306","Hopworks Urban Brewery","Portland","OR"
"307","Hopworks Urban Brewery","Portland","OR"
"308","Hopworks Urban Brewery","Portland","OR"
"309","New Belgium Brewing Company","Fort Collins","CO"
"310","New Belgium Brewing Company","Fort Collins","CO"
"311","New Belgium Brewing Company","Fort Collins","CO"
"312","New Belgium Brewing Company","Fort Collins","CO"
"313","New Belgium Brewing Company","Fort Collins","CO"
"314","New Belgium Brewing Company","Fort Collins","CO"
"315","New Belgium Brewing Company","Fort Collins","CO"
"316","New Belgium Brewing Company","Fort Collins","CO"
"317","New Belgium Brewing Company","Fort Collins","CO"
"318","New Belgium Brewing Company","Fort Collins","CO"
"319","New Belgium Brewing Company","Fort Collins","CO"
"320","New Belgium Brewing Company","Fort Collins","CO"
"321","Sierra Nevada Brewing Company","Chico","CA"
"322","Sierra Nevada Brewing Company","Chico","CA"
"323","Sierra Nevada Brewing Company","Chico","CA"
"324","Sierra Nevada Brewing Company","Chico","CA"
"325","Sierra Nevada Brewing Company","Chico","CA"
"326","Sierra Nevada Brewing Company","Chico","CA"
"327","Grey Sail Brewing Company","Westerly","RI"
"328","Kirkwood Station Brewing Company","Kirkwood","MO"
"329","Kirkwood Station Brewing Company","Kirkwood","MO"
"330","Goose Island Brewing Company","Chicago","IL"
"331","Goose Island Brewing Company","Chicago","IL"
"332","Goose Island Brewing Company","Chicago","IL"
"333","Goose Island Brewing Company","Chicago","IL"
"334","Goose Island Brewing Company","Chicago","IL"
"335","Madtree Brewing Company","Cincinnati","OH"
"336","Madtree Brewing Company","Cincinnati","OH"
"337","Madtree Brewing Company","Cincinnati","OH"
"338","Madtree Brewing Company","Cincinnati","OH"
"339","Madtree Brewing Company","Cincinnati","OH"
"340","Madtree Brewing Company","Cincinnati","OH"
"341","Madtree Brewing Company","Cincinnati","OH"
"342","Rhinegeist Brewery","Cincinnati","OH"
"343","Rhinegeist Brewery","Cincinnati","OH"
"344","Rhinegeist Brewery","Cincinnati","OH"
"345","Rhinegeist Brewery","Cincinnati","OH"
"346","Rhinegeist Brewery","Cincinnati","OH"
"347","Rhinegeist Brewery","Cincinnati","OH"
"348","Rhinegeist Brewery","Cincinnati","OH"
"349","Rhinegeist Brewery","Cincinnati","OH"
"350","Warped Wing Brewing Company","Dayton","OH"
"351","Warped Wing Brewing Company","Dayton","OH"
"352","Tröegs Brewing Company","Hershey","PA"
"353","Tröegs Brewing Company","Hershey","PA"
"354","Tröegs Brewing Company","Hershey","PA"
"355","Tröegs Brewing Company","Hershey","PA"
"356","Mission Brewery","San Diego","CA"
"357","Mission Brewery","San Diego","CA"
"358","Mission Brewery","San Diego","CA"
"359","Christian Moerlein Brewing Company","Cincinnati","OH"
"360","Coastal Extreme Brewing Company","Newport","RI"
"361","Coastal Extreme Brewing Company","Newport","RI"
"362","Coastal Extreme Brewing Company","Newport","RI"
"363","Coastal Extreme Brewing Company","Newport","RI"
"364","King Street Brewing Company","Anchorage","AK"
"365","King Street Brewing Company","Anchorage","AK"
"366","Beer Works Brewery","Lowell","MA"
"367","Beer Works Brewery","Lowell","MA"
"368","Beer Works Brewery","Lowell","MA"
"369","Beer Works Brewery","Lowell","MA"
"370","Lone Tree Brewing Company","Lone Tree","CO"
"371","Four String Brewing Company","Columbus","OH"
"372","Four String Brewing Company","Columbus","OH"
"373","Four String Brewing Company","Columbus","OH"
"374","Glabrous Brewing Company","Pineland","ME"
"375","Bonfire Brewing Company","Eagle","CO"
"376","Bonfire Brewing Company","Eagle","CO"
"377","Bonfire Brewing Company","Eagle","CO"
"378","Bonfire Brewing Company","Eagle","CO"
"379","Bonfire Brewing Company","Eagle","CO"
"380","Bonfire Brewing Company","Eagle","CO"
"381","Bonfire Brewing Company","Eagle","CO"
"382","Bonfire Brewing Company","Eagle","CO"
"383","Thomas Hooker Brewing Company","Bloomfield","CT"
"384","Woodstock Inn, Station & Brewery","North Woodstock","NH"
"385","Woodstock Inn, Station & Brewery","North Woodstock","NH"
"386","Renegade Brewing Company","Denver","CO"
"387","Renegade Brewing Company","Denver","CO"
"388","Renegade Brewing Company","Denver","CO"
