Group,Brewery,City,State,Brewery_id,Name,Beer_ID,ABV,IBU,Style,Ounces
IPA,Tallgrass Brewing Company,Manhattan,KS,46,Oasis (2010),104,0.072,93,American Double / Imperial IPA,16
IPA,Tallgrass Brewing Company,Manhattan,KS,46,Tallgrass IPA,101,0.063,60,American IPA,16
IPA,Sixpoint Craft Ales,Brooklyn,NY,47,Bengali,2090,0.065,62,American IPA,24
IPA,Sixpoint Craft Ales,Brooklyn,NY,47,Hi-Res,1696,0.099,111,American Double / Imperial IPA,12
IPA,Sixpoint Craft Ales,Brooklyn,NY,47,Autumnation (2013),1591,0.067,74,American IPA,16
IPA,Sixpoint Craft Ales,Brooklyn,NY,47,Bengali Tiger,1385,0.064,62,American IPA,16
IPA,Sixpoint Craft Ales,Brooklyn,NY,47,Resin,628,0.091,103,American Double / Imperial IPA,12
IPA,Sixpoint Craft Ales,Brooklyn,NY,47,Bengali Tiger (2011),422,0.064,62,American IPA,16
IPA,Firestone Walker Brewing Company,Paso Robles,CA,49,Easy Jack,2569,0.045,47,American IPA,12
IPA,Firestone Walker Brewing Company,Paso Robles,CA,49,Union Jack,2463,0.075,75,American IPA,12
IPA,Flying Mouse Brewery,Troutville,VA,51,Flying Mouse 4,2566,0.07,70,American IPA,12
IPA,Upslope Brewing Company,Boulder,CO,52,Thai Style White IPA,1932,0.065,33,American White IPA,12
IPA,Upslope Brewing Company,Boulder,CO,52,Upslope Imperial India Pale Ale,1315,0.099,90,American Double / Imperial IPA,19.2
IPA,Bent Brewstillery,Roseville,MN,54,Moar,2558,0.044,44,English India Pale Ale (IPA),12
IPA,Destihl Brewery,Bloomington,IL,58,Vertex IPA,2025,0.063,76,American IPA,12
IPA,Destihl Brewery,Bloomington,IL,58,Hoperation Overload,1888,0.096,85,American Double / Imperial IPA,12
IPA,Summit Brewing Company,St. Paul,MN,59,Unchained #18 Hop Silo,2415,0.083,100,American Double / Imperial IPA,16
IPA,Surly Brewing Company,Brooklyn Center,MN,62,Overrated! West Coast Style IPA,1112,0.073,69,American IPA,16
IPA,Surly Brewing Company,Brooklyn Center,MN,62,WET,329,0.075,90,American IPA,16
IPA,Surly Brewing Company,Brooklyn Center,MN,62,Abrasive Ale,15,0.097,120,American Double / Imperial IPA,16
IPA,Surly Brewing Company,Brooklyn Center,MN,62,Furious,12,0.062,99,American IPA,16
IPA,Against The Grain Brewery,Louisville,KY,63,Citra Ass Down,2540,0.082,68,American IPA,16
IPA,Freetail Brewing Company,San Antonio,TX,67,Soul Doubt,2521,0.059,70,American IPA,12
IPA,3 Daughters Brewing,St Petersburg,FL,68,Bimini Twist,2519,0.07,82,American IPA,12
IPA,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD,69,Pump House IPA,2515,0.055,45,American IPA,16
IPA,Appalachian Mountain Brewery,Boone,NC,70,Long Leaf,2511,0.071,75,American IPA,16
IPA,Union Craft Brewing,Baltimore,MD,72,Double Duckpin,2507,0.085,90,American Double / Imperial IPA,12
IPA,Atwater Brewery,Detroit,MI,73,Hop A-Peel,2503,0.075,115,American Double / Imperial IPA,16
IPA,Atwater Brewery,Detroit,MI,73,Grand Circus IPA,528,0.05,62,American IPA,12
IPA,Two Brothers Brewing Company,Warrenville,IL,75,Wobble,2497,0.063,69,American IPA,16
IPA,Bent Paddle Brewing Company,Duluth,MN,76,Harness the Winter,2410,0.072,87,American IPA,12
IPA,Bent Paddle Brewing Company,Duluth,MN,76,Bent Hop Golden IPA,1901,0.062,68,American IPA,12
IPA,Speakasy Ales & Lagers,San Francisco,CA,79,Baby Daddy Session IPA,2486,0.047,35,American IPA,12
IPA,Hopworks Urban Brewery,Portland,OR,81,Hopworks IPA,2199,0.066,75,American IPA,16
IPA,Hopworks Urban Brewery,Portland,OR,81,Pigwar White India Pale Ale,1398,0.06,60,American White IPA,16
IPA,Hopworks Urban Brewery,Portland,OR,81,Hopworks IPA (2012),653,0.066,75,American IPA,16
IPA,New Belgium Brewing Company,Fort Collins,CO,83,Slow Ride,2475,0.045,40,American IPA,12
IPA,New Belgium Brewing Company,Fort Collins,CO,83,Ranger IPA,2230,0.065,70,American IPA,12
IPA,New Belgium Brewing Company,Fort Collins,CO,83,Ranger IPA,564,0.065,70,American IPA,16
IPA,New Belgium Brewing Company,Fort Collins,CO,83,Ranger IPA (Current),115,0.065,70,American IPA,12
IPA,Sierra Nevada Brewing Company,Chico,CA,84,Torpedo,2239,0.072,65,American IPA,12
IPA,Sierra Nevada Brewing Company,Chico,CA,84,Torpedo,426,0.072,65,American IPA,16
IPA,Grey Sail Brewing Company,Westerly,RI,87,Captain's Daughter,2044,0.085,69,American Double / Imperial IPA,12
IPA,Kirkwood Station Brewing Company,Kirkwood,MO,88,India Pale Ale,2460,0.063,65,American IPA,16
IPA,Madtree Brewing Company,Cincinnati,OH,92,Psychopathy,1126,0.069,70,American IPA,12
IPA,Rhinegeist Brewery,Cincinnati,OH,94,Truth,1852,0.072,75,American IPA,12
IPA,Warped Wing Brewing Company,Dayton,OH,95,Self Starter,2450,0.052,67,American IPA,16
IPA,Tröegs Brewing Company,Hershey,PA,98,Perpetual IPA,1509,0.075,85,American IPA,12
IPA,Mission Brewery,San Diego,CA,99,Mission IPA,2441,0.068,66,American IPA,32
IPA,Mission Brewery,San Diego,CA,99,Shipwrecked Double IPA,1459,0.092,75,American Double / Imperial IPA,32
IPA,Christian Moerlein Brewing Company,Cincinnati,OH,100,Bay of Bengal Double IPA (2014),2440,0.089,126,American Double / Imperial IPA,12
IPA,Coastal Extreme Brewing Company,Newport,RI,102,Newport Storm IPA,2437,0.065,75,American IPA,12
IPA,King Street Brewing Company,Anchorage,AK,103,King Street IPA,1667,0.06,70,American IPA,12
IPA,Beer Works Brewery,Lowell,MA,104,Back Bay IPA,2420,0.068,85,American IPA,12
IPA,Four String Brewing Company,Columbus,OH,106,Big Star White IPA,2424,0.07,70,American White IPA,12
IPA,Glabrous Brewing Company,Pineland,ME,107,Clean Shave IPA,2426,0.067,70,American IPA,12
IPA,Bonfire Brewing Company,Eagle,CO,108,Firestarter India Pale Ale,2422,0.066,72,American IPA,12
IPA,Bonfire Brewing Company,Eagle,CO,108,Farmer Wirtz India Pale Ale,1549,0.07,94,English India Pale Ale (IPA),16
IPA,Bonfire Brewing Company,Eagle,CO,108,Firestarter India Pale Ale,633,0.066,72,American IPA,16
IPA,"Woodstock Inn, Station & Brewery",North Woodstock,NH,110,4000 Footer IPA,2417,0.065,82,American IPA,12
IPA,Renegade Brewing Company,Denver,CO,111,Redacted Rye IPA,1176,0.07,100,American IPA,16
IPA,Renegade Brewing Company,Denver,CO,111,Elevation Triple India Pale Ale,1006,0.099,100,American Double / Imperial IPA,12
IPA,Renegade Brewing Company,Denver,CO,111,Ryeteous Rye IPA (2012),636,0.07,100,American IPA,16
IPA,Black Market Brewing Company,Temecula,CA,113,Blackmarket Rye IPA,1898,0.075,35,American IPA,12
IPA,Smartmouth Brewing Company,Norfolk,VA,116,Rule G IPA,2407,0.07,88,American IPA,12
IPA,Base Camp Brewing Co.,Portland,OR,117,Ultra Gnar Gnar IPA,2323,0.067,60,American IPA,12
IPA,Alameda Brewing,Portland,OR,118,Yellow Wolf Imperial IPA,2401,0.082,103,American Double / Imperial IPA,12
IPA,Southern Star Brewing Company,Conroe,TX,119,Red Cockaded Ale,1728,0.085,110,American Double / Imperial IPA,12
IPA,Southern Star Brewing Company,Conroe,TX,119,Valkyrie Double IPA,1497,0.092,100,American Double / Imperial IPA,12
IPA,Southern Star Brewing Company,Conroe,TX,119,Red Cockaded Ale (2013),1011,0.085,110,American Double / Imperial IPA,12
IPA,Southern Star Brewing Company,Conroe,TX,119,PRO-AM (2012) (2012),853,0.099,100,American Double / Imperial IPA,12
IPA,Steamworks Brewing Company,Durango,CO,120,Third Eye Pale Ale,90,0.065,65,American IPA,12
